DATE,PricePerBarrel
1/1/2010,78.33
2/1/2010,76.39
3/1/2010,81.2
4/1/2010,84.29
5/1/2010,73.74
6/1/2010,75.34
7/1/2010,76.32
8/1/2010,76.6
9/1/2010,75.24
10/1/2010,81.89
11/1/2010,84.25
12/1/2010,89.15
1/1/2011,89.17
2/1/2011,88.58
3/1/2011,102.86
4/1/2011,109.53
5/1/2011,100.9
6/1/2011,96.26
7/1/2011,97.3
8/1/2011,86.33
9/1/2011,85.52
10/1/2011,86.32
11/1/2011,97.16
12/1/2011,98.56
1/1/2012,100.27
2/1/2012,102.2
3/1/2012,106.16
4/1/2012,103.32
5/1/2012,94.66
6/1/2012,82.3
7/1/2012,87.9
8/1/2012,94.13
9/1/2012,94.51
10/1/2012,89.49
11/1/2012,86.53
12/1/2012,87.86
1/1/2013,94.76
2/1/2013,95.31
3/1/2013,92.94
4/1/2013,92.02
5/1/2013,94.51
6/1/2013,95.77
7/1/2013,104.67
8/1/2013,106.57
9/1/2013,106.29
10/1/2013,100.54
11/1/2013,93.86
12/1/2013,97.63
1/1/2014,94.62
2/1/2014,100.82
3/1/2014,100.8
4/1/2014,102.07
5/1/2014,102.18
6/1/2014,105.79
7/1/2014,103.59
8/1/2014,96.54
9/1/2014,93.21
10/1/2014,84.4
11/1/2014,75.79
12/1/2014,59.29
1/1/2015,47.22
2/1/2015,50.58
3/1/2015,47.82
4/1/2015,54.45
5/1/2015,59.27
6/1/2015,59.82
7/1/2015,50.9
8/1/2015,42.87
9/1/2015,45.48
10/1/2015,46.22
11/1/2015,42.44
12/1/2015,37.19
1/1/2016,31.68
2/1/2016,30.32
3/1/2016,37.55
4/1/2016,40.75
5/1/2016,46.71
6/1/2016,48.76
7/1/2016,44.65
8/1/2016,44.72
9/1/2016,45.18
10/1/2016,49.78
11/1/2016,45.66
12/1/2016,51.97
1/1/2017,52.5
2/1/2017,53.47
3/1/2017,49.33
4/1/2017,51.06
5/1/2017,48.48
6/1/2017,45.18
7/1/2017,46.63
8/1/2017,48.04
9/1/2017,49.82
10/1/2017,51.58
11/1/2017,56.64
12/1/2017,57.88
1/1/2018,63.7
2/1/2018,62.23
3/1/2018,62.73
4/1/2018,66.25
5/1/2018,69.98
6/1/2018,67.87
7/1/2018,70.98
8/1/2018,68.06
9/1/2018,70.23
10/1/2018,70.75
11/1/2018,56.96
12/1/2018,49.52
1/1/2019,51.38
2/1/2019,54.95
3/1/2019,58.15
4/1/2019,63.86
5/1/2019,60.83
6/1/2019,54.66
