Month,Oil
2010-01,39
2010-02,38
2010-03,39
2010-04,45
2010-05,92
2010-06,100
2010-07,58
2010-08,42
2010-09,43
2010-10,39
2010-11,39
2010-12,37
2011-01,47
2011-02,48
2011-03,49
2011-04,49
2011-05,48
2011-06,47
2011-07,45
2011-08,46
2011-09,46
2011-10,46
2011-11,46
2011-12,45
2012-01,49
2012-02,50
2012-03,52
2012-04,49
2012-05,50
2012-06,51
2012-07,49
2012-08,49
2012-09,50
2012-10,48
2012-11,48
2012-12,46
2013-01,52
2013-02,52
2013-03,54
2013-04,54
2013-05,53
2013-06,53
2013-07,54
2013-08,54
2013-09,52
2013-10,53
2013-11,54
2013-12,50
2014-01,58
2014-02,57
2014-03,63
2014-04,58
2014-05,59
2014-06,58
2014-07,59
2014-08,57
2014-09,55
2014-10,58
2014-11,61
2014-12,66
2015-01,72
2015-02,68
2015-03,67
2015-04,66
2015-05,65
2015-06,64
2015-07,67
2015-08,71
2015-09,66
2015-10,64
2015-11,65
2015-12,66
2016-01,79
2016-02,76
2016-03,74
2016-04,73
2016-05,73
2016-06,71
2016-07,68
2016-08,68
2016-09,69
2016-10,67
2016-11,69
2016-12,71
2017-01,73
2017-02,74
2017-03,76
2017-04,76
2017-05,74
2017-06,77
2017-07,79
2017-08,73
2017-09,70
2017-10,71
2017-11,74
2017-12,75
2018-01,80
2018-02,79
2018-03,80
2018-04,80
2018-05,85
2018-06,82
2018-07,82
2018-08,81
2018-09,78
2018-10,77
2018-11,79
2018-12,79
2019-01,85
2019-02,80
2019-03,83
2019-04,84
2019-05,82
2019-06,84
