Month,Popul
2010-01,40
2010-02,41
2010-03,39
2010-04,39
2010-05,40
2010-06,38
2010-07,44
2010-08,43
2010-09,43
2010-10,42
2010-11,44
2010-12,44
2011-01,52
2011-02,51
2011-03,46
2011-04,49
2011-05,45
2011-06,46
2011-07,52
2011-08,52
2011-09,52
2011-10,68
2011-11,73
2011-12,59
2012-01,66
2012-02,59
2012-03,59
2012-04,60
2012-05,63
2012-06,57
2012-07,62
2012-08,63
2012-09,60
2012-10,51
2012-11,59
2012-12,58
2013-01,67
2013-02,62
2013-03,72
2013-04,62
2013-05,60
2013-06,61
2013-07,65
2013-08,66
2013-09,65
2013-10,100
2013-11,62
2013-12,61
2014-01,65
2014-02,66
2014-03,64
2014-04,61
2014-05,63
2014-06,60
2014-07,64
2014-08,63
2014-09,57
2014-10,55
2014-11,59
2014-12,62
2015-01,64
2015-02,64
2015-03,65
2015-04,62
2015-05,65
2015-06,70
2015-07,73
2015-08,76
2015-09,68
2015-10,65
2015-11,67
2015-12,68
2016-01,75
2016-02,73
2016-03,72
2016-04,70
2016-05,77
2016-06,73
2016-07,74
2016-08,79
2016-09,72
2016-10,70
2016-11,69
2016-12,77
2017-01,72
2017-02,80
2017-03,87
2017-04,78
2017-05,76
2017-06,79
2017-07,84
2017-08,81
2017-09,85
2017-10,87
2017-11,75
2017-12,77
2018-01,75
2018-02,81
2018-03,84
2018-04,82
2018-05,88
2018-06,88
2018-07,84
2018-08,85
2018-09,78
2018-10,77
2018-11,74
2018-12,80
2019-01,77
2019-02,80
2019-03,81
2019-04,82
2019-05,84
2019-06,87
